Columna1,Columna2,Columna3
0.0,0.0,0.0
-0.0013664,-0.0020984,0.0989664
-0.0040992,-0.0064416000000000005,0.2969236
-0.008174,-0.013005200000000001,0.593896
-0.0135908,-0.021838000000000003,0.9898591999999999
-0.0203984,-0.032793600000000006,1.4850328
-0.0285724,-0.045969600000000006,2.0793679999999997
-0.0381128,-0.06146360000000001,2.7727427999999996
-0.0489708,-0.0792024,3.5652791999999995
-0.061170800000000004,-0.09908840000000001,4.4568308
-0.07471280000000001,-0.1212436,5.4473975999999995
-0.08962120000000001,-0.14557040000000002,6.5373944
-0.10582280000000002,-0.17204440000000001,7.726504
-0.12339080000000002,-0.20071440000000002,9.01458
-0.14217880000000002,-0.23158040000000002,10.401866400000001
-0.16228440000000002,-0.2645692,11.888168000000002
-0.18370760000000003,-0.2997052,13.473582400000002
-0.20637520000000004,-0.3370616,15.157963200000001
-0.23028720000000003,-0.3765408,16.9413592
-0.25551680000000004,-0.4181916,18.823868
-0.2820152,-0.46203839999999996,20.8054652
